Device Type	Client IP address	Clients MAC Address	GatewayName	GatewayID	OrgID	PublicKey	UserNum	Keepalive	EUI64	TunnelStatus
Conduit 246L	192.168.1.251	00-08-00-4a-45-01	Tompkins County #36	ttn-ithaca-00-08-00-4a-45-01	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCo9Xcn9JDSTomgLlNu/bGxsOgyVC0WtKKshT3bnyNo7vw2yw6XYvw0en9lOBA82pH7c2x08GvOPIYOipKFdkb2ZtE2HSbpkSF6SRgm8KxquHL4/uFWH33w8jXSye0y2bjk5gT94K0AdQjGwOeIaoUvYBKnxPP7mtHey+jjUCrrCh0FlExFBBNjXJu7kxaY0QK/MvsBUXViE7I9sxIJ40wtAicDSOwgKTbyUMhC8JekNz8IgVzpTvtv4B0YHGld7MCRZCaUaTaaNf8hcik7ZOEoRHgQ8D1FdmdWq31cDIjIL01uE0nwaVG8JyKaX8RF7BL5oKarslTCceWDgXieV6uB root@mtcdt	20084	40168	00:80:00:00:a0:00:29:00	OK
Conduit 246L	192.168.1.252	00-08-00-4a-45-02	Tompkins County #37	ttn-ithaca-00-08-00-4a-45-02	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDBlM748DbOml6DzlVSNCWyPwpnHBNiuuwU4YiJRSrQAfXDXQNSSWGeVfOUAYnqagXsaAKIjVzvDG/Z2wDUEn+JjCnewDSeXgx4CNg0qEg0g90P6Stt8t1PXDqQLHqL+qIwmUyGKAx6zWvNHo4ez4DfUFhC5a7xeeAcwGpZC30/vFUlygACPNZS7XYMKqLSsQ7ddmsNsYOGpoTk8bplLu28zHmAhKHl8DcYQpf+FMPXj4+HKHyNWcOAuUZVFYJ3tV35RxURZoHUesnSWwqvPL7fOm/4H3SFVbJeVvon/gOb8M94zNK+KDNCd3jlI8OVxuP+F9j1F+5QyL8kQ0JM1gvl root@mtcdt	20085	40170	00:80:00:00:a0:00:29:01	OK
Conduit 246L	192.168.1.253	00-08-00-4a-45-03	Tompkins County #38	ttn-ithaca-00-08-00-4a-45-03	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC9Ja86VnHrVcHOG3H0KWuvFGoPF7k6IDNVt/+7lQ6c4qtH8vA9RYmLzvbrMLJ9nH+B62Liq2gNtCi7+N9yaaIIQ5jJZel8twndiehogYBtmcvOPj2h5O0ih5bV5ZhykYyROHd086JqpWkrdgKqMcZvc5MtvyxPrjaQ9+U2+V6v3UWUFgYGrFMAv0Pr5Wz8jvUo2PlfPeLKXCxSmmn0RDsem3yAm/s7xoraUXfAGhlc84d4RNlIDslMAFMQQNAFj6RfwKImyE7fCW9AFu8x8kbVjLa5GQVQw/RVrajSnztVslSUG1XHqzuFqRFVD3urKpWsLmkNJsCswBAWKZM0TFoN root@mtcdt	20086	40172	00:80:00:00:a0:00:28:e2	OK
Conduit 246L	192.168.1.28	00-08-00-4a-45-1f	Tompkins County #39	ttn-ithaca-00-08-00-4a-45-1f	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCiUQO+eEIzYm4JSBRioVmpMzD1f2yR7OQsTL0Gl181+VrX8xP8sd1vUfGcqcCNZIwiDfzBFq+ZwYnbzdqbyGFQ5qcLOtK2zA8Y3wWMMMUJvrcw3xiDw9B6URYf49OFA5ff+OqQL+X0RJ91xgc15SYPehFtLI+gTXceucSKjjX3uYcWxVslwcOQ4bY7EQsklPojwCJEUX2mcqXlL8nD9BMZjhiX52mdXL5lMlYwodFP80N/HtSZhbqWhHiCCrIC9gShsLmTNU6R69KL2Zi0mU1gVuWA5MG9FUWqU+DqCuTaFRBpVXPSXMu5ZPv6njeNGDdieoItmQsOBacSGXDTYFbL root@mtcdt	20087	40174	00:80:00:00:a0:00:2b:4c	OK
Conduit 246L	192.168.1.29	00-08-00-4a-45-20	Tompkins County #40	ttn-ithaca-00-08-00-4a-45-20	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCl6tgKyHgvy4vecNa/QcKLJV9JmKIZq0y00eWH/9FmHOskDb0PZcbCG9BvCB6j4V3q9popmYcTnJLA+6aZBlr/kH2BKXj99A0nbYtMEgkr4VzjbchnzT2udJJ6UnE0waQ6zFUdPwHKEV4IMuRggFpgRKj0czPAs3sx6YhcB8FzrC1CC6q5KELbBmdNUPR6T/s7XBzWkHeetpkb74fs/d1ZoYMeHv6uO3KEW86f0sBGOP6RSkGjrnjjajFlpmhSUn6dQK6B6QyB2WPkLwwdzn9cJOMolZKBJFDSgArU+pPEJP5ga0RUKoCjcdJYUSlt5ReByh7LDBouJy+6bE9e0U4J root@mtcdt	20088	40176	00:80:00:00:a0:00:2b:4d	OK
Conduit 246L	192.168.1.30	00-08-00-4a-45-21	Tompkins County #41	ttn-ithaca-00-08-00-4a-45-21	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDPGnPGp6W8LiSwg2o6m3ZWeIo30joeTvL1LTrT6VLuSEZkwG5+FywD/o4lsveOgBjX5NPMKdp+nAsesJrnaj5ijxdWFTEYP1UCZ8dwVXYFN9MyGaFa/+6Cul0BUzugUVQeXNrLT0S/JEsmr+GgKqj/SP3eidTpWw5WbAX2Ij4rh3fHEA/hWQrMS+BYfdg7jg/wwVLRGBGSWXbjxiCtIRHDHnaMZlnYIcUGboJYr3SXyRDL0hF4Wy3xKhNlQFpxP8tpvwYlgJqVOOk0Ll6mlvsbGc7fn33LQqYX/T9XZ7LoK0t9FobqxnCllTrv6TpWRLgMkBrgRe81i6he71N8n+4j root@mtcdt	20089	40178	00:80:00:00:a0:00:2b:58	OK
Conduit 246L	192.168.1.31	00-08-00-4a-45-22	Tompkins County #42	ttn-ithaca-00-08-00-4a-45-22	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCpqU1/LPmC6i5pV2Zvomhwm1BDVz7NwLQCY/IjdeLzPhqb9t/+I6i2Ve3ecuvFAx3VQSqHt6Ik6xFbOS6NtG4cfRkl6bF9QAqftWA8euel1pBdUNx425w2DO93+FxQCx9Qc0/AVjEyzG1jmRAM0/ju/iyp88OLZw6mjsoApEB/JYqxnxTN5sXbo8hcJMpPzXsS49wR3KZNHLEueKsm2RI0rztGqgevWWVGFJI9wKtGSzx9+bohOkjku48/vFbgXsXy6qujLKsxqBQkVf1t0MMehiE1DDajLMkFsMQsaoUI1Z8vzxhqViA+356UsPBu3YS59bo/v2UgamfFd7oV/aNh root@mtcdt	20090	40180	00:80:00:00:a0:00:2b:57	OK
Conduit 246L	192.168.1.32	00-08-00-4a-45-23	Tompkins County #43	ttn-ithaca-00-08-00-4a-45-23	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCxJWL/bKq4yUII2g+lgvgmv6TlB1SU3HhrXKyMaDx7ZRHbNd2+HNmEqldfCthzPnc/coqKXx9q0f7iCLOXnHobn6vkbXtybhiW8jip5AGDL4X/ITITHe5m9ccJ4gsUkr8q+xMT7ks03gBMCQzleNtnD5qy4Zklwvlhmaw9vzQ9Dn4PLrpGDGz7QAYDw9uvGSv5aeqeE/v2qqN2MOTIwPVZfUlORg37LR5J4sx9V/oyR5z1Qey2ZeUJTMFOj5dGBVi6b6p1EVMC18URvQ+pf0vhO03NY/rhIOLHu9XQThH8uwl4aFAH2mHRvYnaCL94HF4rBoywOKIOahQdjQ6nSexV root@mtcdt	20091	40182	00:80:00:00:a0:00:2b:56	OK
Conduit 246L	192.168.1.33	00-08-00-4a-45-24	Tompkins County #44	ttn-ithaca-00-08-00-4a-45-24	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC8vQysRFtNPCg4faDLIUTqzSiYNCgoZdvOBn0JVx2o6LR5V1OVG/FFM0g7xLS5JtZW6WJPU5+SW+QCISMwq7uFt4IvBnPSq4bnPWIbYzuMtpvdmF4zFUAzASvKbMLNwtQ9fbDsCgD+SVxG/1GYJu/bB9R3aS1wPs4s3/AUo77XV4ExZDutGaT23AH5PHGZH/uuPuhErFyOElnMw1DUkk7zWkMlFbBz8hpVMObjzmUy3yrAfK2/6TVGeJQdAlYT1o+plpgZSrClfqYWwbxxfNryOlgxfXbYWvTHRrQBguKpkArRAa8ZieTQjsF7nStj3EgUXJs416EVYz1M1XUbpIS1 root@mtcdt	20092	40184	00:80:00:00:a0:00:2b:55	OK
Conduit 246L	192.168.1.34	00-08-00-4a-45-25	Tompkins County #45	ttn-ithaca-00-08-00-4a-45-25	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC1mYf5MszgAUGMTxRItM+JoMBcStchUnfr3HsjLd0oZwNMpmWgfkgQ3XkE5TOSlTTcuFQBb1kkCisjYopQUUHfYWEqxcJcc2UcYSyuMbfeHoQXO41gimue+oKpb4PT82esSS0h7XSWkfbPYImCqZKjt7GxWqNMx/X7PZahHcmxnPI6CUXBQUi7LMp0mTamswcxEXDvHDJRsrksW0eJpllFwujBfpoDJS/tzxJ8PA5e+Hggobd/DwG8h0wMhvydpGPtWR4uZ5huqq8TH/baEPMQzrzU5GeWU4wGa/ODvRA0GMVjQDv6Ka0ljBcAFtVL3iH8ZWxalgMfNPMf9QoP0pv9 root@mtcdt	20093	40186	00:80:00:00:a0:00:2b:54	OK
Conduit 246L	192.168.1.35	00-08-00-4a-45-26	Tompkins County #46	ttn-ithaca-00-08-00-4a-45-26	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDdL4na1QY9K/GLL5dLgDsi0PhKgjLyN8kaxP4uVH5rUOP+hzyjps8cEHmKW/6W9gtsA3qoD6/wryxlYLmnKCrWw+7gODRbsd3KHzFIdto5+gye2T7N6B0vfbS1o9Ve/1niIfKrpiMG1ftLpo33QW2MckpF25buz/KRKq9drHJaPpk0u7hfaoCQeRmFWoAPSKzrD22K3JW8J/dS9DS7isFb5k2VJ9rpYY8rzkz4xJEBNfdYuRDxiTfGiq1lmJ1mylMezvI9c3aIIQeT1thshVELPVS+Jb9N4RmYp+KqB5ZHMKNzJiWn7C860YaaCz1hYC62lRKBsS/bOD4Xa5pTeNAB root@mtcdt	20094	40188	00:80:00:00:a0:00:2b:53	OK
Conduit 246L	192.168.1.36	00-08-00-4a-45-27	Tompkins County #47	ttn-ithaca-00-08-00-4a-45-27	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDXQg6ngYIe6M5XI4j1mBeOWobWxfgnP0Piw1N7F5RgcD0zqekCccLwkyx3yQyfVNUSIKylw0QAoHjMCB2JVbUduSq1kYFVdovBJ5GRDCgJPfK/7h+cDkkz5IkA1KgPJepzWXFNBLbk/Y3wiMShDmcgjxXO1gQBnXRMGjkfNksmVbqfpTwnh7kBX0j95PY01+ASfxUaMoyJDwbX9QsCq9Ni6h74j7Hy8LDhfbuWkBCjA4lWfTndUXatGma6sINCx9Vt7auGdheVOXz7u4eI+JQzWptVBzrr/gmnkPwOlisxt/8nh1N2tKJLUCIkiC/FHOjB05+NXb38np8gxPRMcaUP root@mtcdt	20095	40190	00:80:00:00:a0:00:2b:52	OK
Conduit 246L	192.168.1.37	00-08-00-4a-45-28	Tompkins County #48	ttn-ithaca-00-08-00-4a-45-28	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC+BXabE1sFgnWIC/0V+V2OHPlAqXiKDZPfcRXDGHp+FM/qK1eLDL73eMzxOHJe/+1IGbzSg1wCrH4HrbVx0wpzQ1cR9OqBKbPamLKhZbgR08SMFJmGc1Rd6oF1D3DtjcYaXzYUbZGzXlzLE2xVwVdg/dc0/FYjNukfAypBr3BXbvaA3rKMevgcgiUNktHRYEgY/lCqiNgaGKkL+4uEOqMgaHelWn7BCUMVe3stu1jaGcZkMu/JslDiWphpTUSghXB8ZWCKIOL1JtwDHca/ojGATaT2CstiFjdI0z6xCWBwuG2WA2jqdNM00q0ko1l8MWNDB3a3EVXqJrHc1yXNHZBt root@mtcdt	20096	40192	00:80:00:00:a0:00:2b:51	OK
