Device Type	Client IP address	Clients MAC Address	GatewayName	GatewayID	OrgID	PublicKey	UserNum	Keepalive	EUI64	TunnelStatus
Conduit AP	192.168.1.200	00-08-00-4a-3f-81	Tompkins County Personal #21	ttn-ithaca-00-08-00-4a-3f-81	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDB+TU5/8e/PFYsXG2UVGD5jLv74z/da1ip4UprqffstHYi7rQhE06wRfHkxnlnEKt4uJ4xhWAVWQKcX2dN8aeOJLp0kJc7xPE9X/cORKFC+aBOnEqmLy9DQ56mfck/BXdMstPwM31fq82k7nVsbJYhzJDYgD2xoF5KpZVN+NxTx0Ya+KaFQR90HO9Qgq3X6tx9WiP9rmekJQJ/uRgm5s0iFcO91zljzCl+uoVeid8bcaDQarvKiVRx3JZnSsz8ZtZfCPLv71W8AMLGsAiW4EJ0BtfB+umVSYxANZwE7Edd8W7xoMwR/aYkG8YeWbqrleUqrr24IAGHv6eqjaA0Mdxd root@mtcap	20107	40214	00:80:00:00:00:01:17:74	OK
Conduit AP	192.168.1.201	00-08-00-4a-3f-82	Tompkins County Personal #22	ttn-ithaca-00-08-00-4a-3f-82	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQC0Z5P+z2DpqWaMuF0Rx9Y4J5yXafIJxvzEMQJczeIxV3lRZEVvfeFWTkmw6zG5AhScibmKjcbZQ2WcsFBN2KO+jQEMiTiXoPnCxc8xHLiU9pwuE8IxpgZoKI3oDBg6hND1UYWpdXngXV7BuEocnyFqK/wNYrahGH122T9qUPPJpPlgowFvWJGqsWdhHC1FpUvTgQd1frfmTc8xXROfs7c3q5EFGHMo/6deoU5DfMn43yKLDfzPAktmZXV1qe2IVwFrFCcvRILJDFd/4MCPPjG0cKutcpk6GpomR6+1zO/vAOfdSM5ol24xr80hTxFVNqyNPdq/z9Y4MH6KwlUjbAo9 root@mtcap	20108	40216	00:80:00:00:00:01:17:75	OK
Conduit AP	192.168.1.202	00-08-00-4a-3f-83	Tompkins County Personal #23	ttn-ithaca-00-08-00-4a-3f-83	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDF0JptzEQtPHlXiNTJepVZ0GqI5BucFfoOzRkAX83gtG+OzIeHcEc2FDkbkS94D7HvzxgZ4SUHMcS/pD2h7WvoUss103cMwODg8omFGkvWJCz+Z1u5SoShVFWuJi+lo5YenWrfz+Ad5j2tkE/zE/5YDNWCAJLnbIXKbIA+0HwXt/J5Ddredj7Emr+AvrXbeugM2dXdXrl17870B2ObyIM5/ZvwQ8HhBYxsLxikRizMK3vqs/aDMCzFEBLh65hB5lJFsIuK0MhgcXkRTmEXlRQXhEFrT8y6QjmqTj+BQMU+vpfmoA4t4KHcQ9RodO1dRpSMB+OaJrCYIhJlW5PEdLL7 root@mtcap	20109	40218	00:80:00:00:00:01:17:76	OK
Conduit AP	192.168.1.203	00-08-00-4a-3f-84	Tompkins County Personal #24	ttn-ithaca-00-08-00-4a-3f-84	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCgJ2413nq7gDAPuFpKID8UHsRSv09IdIZ/A8t7a2Lo1wb5aRZKntCN5NJxIELI8+Sqi8SN28T5gBjzL/eUHw4BWr2pP9U59nZanHtO9fjne6orey+pdXIm2SeKNpbIcbZkx5rnB3Qx8beuWJp0imeVAF8UBONAJIafV5SFkjvfbYkwujOjGikreLinhZDCGtQ5ckIUPa/FU+oaatUuwY7TuF4VhgV0RsDvzAFn6XJdRmeTFXpvV0dHzXoe1UUZjWuCCNFhCNGE8KWBDSjYHHUioKbDFRUofLZW/IpJK/jVdcaBuW/xqJpr2antUXEki2WzfxeUCBAtvmTAp94pIQQH root@mtcap	20110	40220	00:80:00:00:00:01:17:77	OK
Conduit AP	192.168.1.204	00-08-00-4a-3f-85	Tompkins County Personal #25	ttn-ithaca-00-08-00-4a-3f-85	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDUf5G3U3wDhWWqkhzJpwLFUS7PgNOS96n+hzf4pbajZG8L7gP+TmuSVaxM03t/X8SowWKkt39/o0CT74LqVO8J9A+2RLg/AxkFg1EQAob7S3S7Cqno48MHRxY7QFvSrO6mq3i/cXEIqLZKe065o5LeNBc5QBIQVszgZNl5I2VItn9H5STFH7SLaSU+cbTDDkikbGvJgZZLSV6Ne+RsriMSMUfFfZWFcyeEsr59edBkoGrCjKcVf2IL5NHowqhGKGXOosGFa03/hIhtAFkidkblwxQXyRLBsSfHMV1Bbm1Tf2HChbnt+dGAVR69G/9c0/WBkmVgMVfDr4ZwrkkSUKlD root@mtcap	20111	40222	00:80:00:00:00:01:17:78	OK
Conduit AP	192.168.1.205	00-08-00-4a-3f-86	Tompkins County Personal #26	ttn-ithaca-00-08-00-4a-3f-86	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCvlrulRaWclm2yGKXGOLkNpMtWHE0YwcOOdEH7ceReTl8NNY58xFpxpcHV96ZzHjzDS8eCNVx3hwjk2LOsQZc0Dk/RRkPsPWVK6XnRrmM9pqWY9C+c+C4buSP4cKCR2Ua4/mEV53BboTpIlUE+EX6U8VY8/gH8SDtLiiTwSjsTy15eub0AGZbwGyB7GgjF4h6JWfGG1nAB+X4QD1At/jGErnCUgB71EQIVDZtvRcFJ0aw93Jb3lPHXgQCU0hvKvW1I11ymv5uYMzfnneVwhKzqPNtRSHm69/dckoKDFKA2apXo+9QKBWPUCL4titeEgZHHzUDjqB3R7pUZvd+QyFB9 root@mtcap	20112	40224	00:80:00:00:00:01:17:79	OK
Conduit AP	192.168.1.207	00-08-00-4a-3f-88	Tompkins County Personal #28	ttn-ithaca-00-08-00-4a-3f-88	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDNWLRrgPpE5QD1M6xb7+upOYYUxpkHdG7YAAeXrhtiYzQBuuqg0w6awSZJnk1tKOoj67hVPzc1ZVy1hdItwVVkssD0ur1Am5rTc1jxn/1vsNyl/81vmHTfWAbkAufgPLkU4L3hGkfgm5WquEoL5btrmD2MiB1BDQJvee7ZkCZKd5/7gaMZ51yXDydVO4yiG4qrihXDA26Rr5MUmZ/Q7beZJKWMO8jhwj7Rlqeu5GfkzXMeOrVFPp76serVum4JRxlzVWwUS3rHcvhixSFI4pF6cGs4BqiKGmN+XjRpFJ1ppbzB/WcUL35cyJvFgUeRN1/AUVyrNK36SJ/MgolCjXZ/ root@mtcap	20113	40226	00:80:00:00:00:01:17:7b	OK
Conduit AP	192.168.1.208	00-08-00-4a-3f-89	Tompkins County Personal #29	ttn-ithaca-00-08-00-4a-3f-89	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDjTjIyf5USjhCpXr3ZbIHuookFrM5jqhyU1KSGvwyujKZTLgnPuMYgsWyIE8wGnLsa+lobpo8Ark0h91V14nzk+j/lVAiQhAR8+fhrtalWPOSH/Pxq9Dw8dqBKk+8V7uyw+/QeUmH/38wL7U3keRo3TbPIIy/bdxRS/HDlbT+yrvvKs0Ax69ccIXCooWyi8ucLU6lE5CIBo5YK9ehjd9vqqINWAA06wFQ+w+YEJJK/65FrHZmHyj8BBcHS2LwdKsuQoJF1j633V11wymvx2/gZUzotYuUb2EFPGFsYGwfmLKCeSBOjog7/fQULp6fXtNhx7k6+4zYQrHLTiHUBTrNL root@mtcap	20114	40228	00:80:00:00:00:01:17:7c	OK
Conduit AP	192.168.1.209	00-08-00-4a-3f-8a	Tompkins County Personal #30	ttn-ithaca-00-08-00-4a-3f-8a	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCxqpNFR/O5ZvD26RDfM9Qj+S027UPenLVt/9HzpybVbbAuYizQ82yhUztEZG6J4Y2xl95m/B3sJx+b1iAn0CYDVkRJcKZxzbCch+xMsHUC498vYpZQrb4gD8m9zLtiGkMFmTn+8GMRVFi+q/9Eg8woMAhIyFI2Py0teZs8QmagAioCnLRgE6GmRTrd0NQMB0rfZr36cEmcURq4OfDuB8YVYYT0aVGAkLLndj4NQ5MHWeeyx/XoCKXaTOWLNRP4zpqGqTmAVR3IecZPN66p4VUtm4ei4o2v1y5cPAm7PiYUbv13Zz5SjDnsDS5lyvODVJQvP4/GKwTapzAUJ/d8zQ8B root@mtcap	20115	40230	00:80:00:00:00:01:17:7d	OK
Conduit AP	192.168.1.211	00-08-00-4a-3f-8c	Tompkins County Personal #31	ttn-ithaca-00-08-00-4a-3f-8c	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCvbC6IcmEsLRXg0RwVNLn2inw8TPoZ2fHMDCpHn6AUFiP5RRD8oHhmp8LULmVZotmT62Mp0Up3RewV2uoE7a8qNAgLdf2PBVUsCdnu3IPVxqJebaAXb32um8uZJPJvOkRL/AqcWTDrHiAMtvdC8JV74nB63ArfALWxh11fVJFH4LqTgclly6zz0/UlqSs4wvABtqGOC3Lfnx/9B7CK52UEEFveXscYHKEZDT/eX4XDu38AFDwXH5y+i85LpKsMGnjPED+onv1WXdN8jfxqpyC7m8Jlq/5RKHS4k9JMfOLfJVrw8YKeqwKTCc9S+OyDl0Q/5Y1jgG6M1nDhe7QA3Cip root@mtcap	20116	40232	00:80:00:00:00:01:17:7f	OK
Conduit AP	192.168.1.212	00-08-00-4a-3f-8d	Tompkins County Personal #32	ttn-ithaca-00-08-00-4a-3f-8d	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDGM+Ai8KiUUEBND7pls+YVmnbzNVvhKd3cgMYeF6QE6HYDEc+1SVhETaSk/MpkG7AHUvsEqmnPL43+BZpMDR1VLZB46u6qM9XjHWnJUpwvsJR0tpsgZh7FkOTq/X9c0d33PUA1ZeDYlixXUQTvHVNblR0ady3RJIWijQa7egvhfjQF1A1mHxorKa94qHYZpS5q95QVz/Ym0g4WlUfCBKbBUQFaqlZVVzy8f/fKj27DDI8sJtsOd2tkn1QJof08lnr/s47P7PhO0DrW44JGMn0iN/na3ACrGzNDnCEQj2YmDA484lr8V0GJ35VTTnpRmaQtkRTYqIDnfxN5dZPPcSzJ root@mtcap	20117	40234	00:80:00:00:00:01:17:80	OK
Conduit AP	192.168.1.206	00-08-00-4a-3f-87	Tompkins County Personal #33	ttn-ithaca-00-08-00-4a-3f-87	ttn-ithaca-gateways	ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQCs41Z+R+kGBOcAH4xQZnSCayyZjyLdgwA7U8GwDe2Tga6qdDQ7TDkj+Sm/IDp84SwyjdE52BBqznPxFfSiFlcfWQmeQwQCWtZH0SX2RRUQgJUo0Z+3tNNrI3pL6EOELpZf2iu5fEmM6gtq2Lw/RlfN+3m6VUBWDp+SP7ZNFYamWksi5Pg9VnHdkTALXeUjE31xTouPVCIn2X5GnsIAeGzPDM+l1TQOLDgnIXaP8CIymTZBHKKb8/jMJueFxgpSxCcB9g0ce7sYsI317NUO2aYxPgGFEGoS7obQvWp+QPzqA1jbcS4CQMUyt4EzTnyXuYHxSefq4bHMrdADOMJTX+zN root@mtcap	20118	40236	00:80:00:00:00:01:17:7a	OK
